paper_id,family,structure_main_class,structure_subtype_list,title,authors_raw,year,doi,status,source_path,library_path,notes
10_1016_j_compstruct_2018_03_050,honeycomb,honeycomb_2d,bioinspired;hierarchical,In-plane crashworthiness of bio-inspired hierarchical honeycombs,,,10.1016/j.compstruct.2018.03.050,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_compstruct_2018_03_050\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_compstruct_2018_03_050\original.pdf,
10_1016_j_compstruct_2019_111219,honeycomb,honeycomb_2d,circular_celled;petal_shaped;nested,In-plane dynamic crushing of a novel circular-celled honeycomb nested with petal-shaped mesostructure,,,10.1016/j.compstruct.2019.111219,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_compstruct_2019_111219\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_compstruct_2019_111219\original.pdf,
10_1016_j_matdes_2017_10_028,honeycomb,honeycomb_2d,hierarchical,3D printed hierarchical honeycombs with shape integrity under large compressive deformations,,,10.1016/j.matdes.2017.10.028,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_matdes_2017_10_028\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_matdes_2017_10_028\original.pdf,
10_1016_j_tws_2019_106436,honeycomb,honeycomb_2d,hierarchical;vertex_based;triangular_substructures,Crushing of vertex-based hierarchical honeycombs with triangular substructures,,,10.1016/j.tws.2019.106436,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_tws_2019_106436\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_tws_2019_106436\original.pdf,
10_1016_j_tws_2020_106623,honeycomb,honeycomb_2d,auxetic;star,A novel star auxetic honeycomb with enhanced in-plane crushing strength,,,10.1016/j.tws.2020.106623,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_tws_2020_106623\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\10_1016_j_tws_2020_106623\original.pdf,
pii_s0734_743x_97_00040_7,honeycomb,honeycomb_2d,,STATIC AND DYNAMIC PROPERTIES OF HIGH-DENSITY METAL HONEYCOMBS,,,,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\pii_s0734_743x_97_00040_7\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\honeycomb\pii_s0734_743x_97_00040_7\original.pdf,
10_1016_j_addma_2022_102887,lattice,tpms,gyroid,Enhancing specific energy absorption of additively manufactured titanium lattice structures through simultaneous manipulation of architecture and constituent material,,,10.1016/j.addma.2022.102887,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\lattice\10_1016_j_addma_2022_102887\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\lattice\10_1016_j_addma_2022_102887\original.pdf,
10_1016_j_cirpj_2024_06_009,lattice,truss_lattice,octet,"Comparative study on the process, anisotropy, and mechanical performance of laser powder bed fusion fabricated truss-lattice structures with different unit cell designs",,,10.1016/j.cirpj.2024.06.009,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\lattice\10_1016_j_cirpj_2024_06_009\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\lattice\10_1016_j_cirpj_2024_06_009\original.pdf,
10_1016_j_compositesb_2019_107565,lattice,tpms,sheet_based;primitive;gyroid,Crushing behavior and optimization of sheet-based 3D periodic cellular structures,,,10.1016/j.compositesb.2019.107565,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\lattice\10_1016_j_compositesb_2019_107565\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\lattice\10_1016_j_compositesb_2019_107565\original.pdf,
10_1016_j_engstruct_2023_116510,lattice,hybrid_lattice,cylindrical_tube,On vibration isolation performance and crashworthiness of a three-dimensional lattice metamaterial,,,10.1016/j.engstruct.2023.116510,identified,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\lattice\10_1016_j_engstruct_2023_116510\original.pdf,C:\Users\Administrator\Desktop\dianzhen shujuku\data\01_raw\pdfs\library\lattice\10_1016_j_engstruct_2023_116510\original.pdf,
